,text,label
0,I am still waiting on my card?,11
1,What can I do if my card still hasn't arrived after 2 weeks?,11
2,I have been waiting over a week. Is the card still coming?,11
3,Can I track my card while it is in the process of delivery?,11
4,"How do I know if I will get my card, or if it is lost?",11
5,When did you send me my new card?,11
6,Do you have info about the card on delivery?,11
7,What do I do if I still have not received my new card?,11
8,Does the package with my card have tracking?,11
9,I ordered my card but it still isn't here,11
10,Why has my new card still not come?,11
11,"I still haven't received my card after two weeks, is it lost?",11
12,Can you track my card for me?,11
13,Is there a way to track the delivery of my card?,11
14,It's been a week since I ordered my card and it's not here. Please help?,11
15,Will I be able to track the card that was sent to me?,11
16,I don't have my card in 1 week.  Should I be worried?,11
17,How do I know when my new card is going to arrive?,11
18,My new card has not been delivered to my home yet. What is going on?,11
19,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,11
20,"On the card that is coming, what's the tracking info?",11
21,What is the status of my card's delivery?,11
22,Have you sent out my card yet?,11
23,My card isn't here yet.,11
24,where is my new card?,11
25,It's been a week since you sent my card and I still don't have it.,11
26,How do I track the card you sent me?,11
27,When will I recieve my new card?,11
28,When will I get my new card?,11
29,What is the expected delivery date for my card?,11
30,Is there a tracking number for the card you sent me?,11
31,I would like to track the card you sent to me.,11
32,Has my card been lost in delivery?,11
33,My new card hasn't came in.,11
34,Where is the card I ordered 2 weeks ago?,11
35,Can I get an update on my replacement card?,11
36,How long does it take for a new card to ship?,11
37,What's the tracking on the card you sent?,11
38,I haven't received my card and am worried it is lost.,11
39,My card still hasn't been delivered,11
40,I need to find out where the card is that I ordered.,11
41,Where is my credit card that was to be mailed?,11
42,I ordered my card but it hasn't been delivered yet,11
43,Am I able to track the card that was just sent to me?,11
44,Can you tell me why I haven't received my new card?,11
45,I'm still waiting for my new card.,11
46,Is my card lost? I am still waiting for it to be delivered.,11
47,Should I keep waiting for my card to be delivered?,11
48,Can I track when my card will be delivered?,11
49,How can I check on the status of my new card?,11
50,"A card has been sent to me, how do I track it?",11
51,Is there a way I can get my card expedited?,11
52,What can I do to track the card you sent me?,11
53,why hasnt my card come in yet?,11
54,How can I periodically check the delivery of the card you sent?,11
55,What's the reason my new card hasn't come?,11
56,How long does it take for me to get my new card?,11
57,I don't have my card after 1 week. What are my next steps?,11
58,I know I'm getting a new card but would like know when I can expect to receive it.,11
59,I want to find out what happened to my new card?,11
60,Was there a way for me to get tracking for that?,11
61,I am still waiting for my card.,11
62,My card hasn't arrived.,11
63,Can I track the card you sent to me?,11
64,I haven't gotten my new card.,11
65,How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,11
66,Will I have to wait much longer for my new card to arrive?,11
67,how to track the card you sent,11
68,2 weeks ago I ordered my new card.  It isn't here.  What should I do?,11
69,How can I check on the delivery status of my card?,11
70,"My card has not been delivered yet and its been a week since I ordered it, please help",11
71,What's the expected wait time to recieve my new card?,11
72,How can I see the progress of delivery of the card that was sent?,11
73,"My card was supposed to arrive, but hasn't?",11
74,I ordered a card and would like to know how to track the delivery progress of it.,11
75,How long will it take for me to get my card?,11
76,My card hasn't shown up yet.,11
77,Does the card you sent have a tracking number?,11
78,My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,11
79,maximum how many days get the courier?,11
80,Is there a reason my new card hasn't arrived yet?,11
81,"I've been waiting a while for my card, is there a way to know when it will arrive?",11
82,How can I track my card's delivery?,11
83,Can I track the card that was just sent to me?,11
84,"If I ordered my new card last week, how much longer should I wait to receive it?",11
85,"What's go on, where is my new card?",11
86,Where is my new card if I haven't received it yet?,11
87,Where is my card?,11
88,Can you tell me why I haven't received my new card yet?,11
89,Is there a way to track my card?,11
90,Is there a way to track the new card you sent me?,11
91,I'm still waiting for my card.,11
92,What do I need to do to get my new card which I have requested 2 weeks ago?,11
93,WHAT IS THE SOLUTION OF THIS PROBLEM,11
94,Could I get tracking on the card?,11
95,Can you help me track my card?,11
96,Shouldn't my new card be here by now?,11
97,Is there a reason my new card hasn't arrived?,11
98,"I would like to track a card sent to me, how do I do that?",11
99,Is there a tracking number for the card?,11
100,can you share card tracking number?,11
101,"I have not received my card and it's been a week, what do I do?",11
102,Is there a way I can check on the card on route to me?,11
103,When will my new card arrive?,11
104,Why haven't I received my new card yet?,11
105,What is the expected delivery date of my card?,11
106,My card hasn't came in the mail yet?,11
107,I haven't received my card.,11
108,Is it possible for me to track the card is was mailed to me?,11
109,When will my new card be delivered?,11
110,I was issued a card about a week ago. why hasn't it come in yet?,11
111,Can you please tell me where my card is? I ordered it 2 weeks ago!,11
112,I still haven't received my card in the mail,11
113,I'm still waiting for my card that was issued a week ago. What should I do?,11
114,I still haven't gotten my new card.  When will it get here?,11
115,Do you have a tracking number for the card I was sent?,11
116,How do I track the card you sent to me?,11
117,Is my new bank card on the way and is there a way to track it?,11
118,Could you send me and up date on the arrival of my card?,11
119,How long does it take to recieve my new card?,11
120,My card has not come in the mail yet.,11
121,What's the card you sent me's tracking number?,11
122,i havent got my card,11
123,Why hasn't my card arrived yet?,11
124,I thought I would have received my new card at this point.,11
125,How long until my new card gets here?,11
126,How much longer until I get my new card?,11
127,Am I able to track a card that has already been sent?,11
128,Is it possible to track the card you sent me?,11
129,How long will it be to get this new card?,11
130,how can i track card you sent,11
131,Can the card was sen to me be tracked?,11
132,why have i not got my new card?,11
133,I need to track the card sent to me.,11
134,"It's been two weeks and I haven't gotten my card, what do I do?",11
135,I was expecting my new card by now.,11
136,Where is the tracking number for the card?,11
137,I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,11
138,Can I track the card that you sent me in the mail?,11
139,Can you tell me if I can track the card you sent me?,11
140,Why have I not gotten my new card?,11
141,I'm still waiting on my new card to be delivered!,11
142,My new card isn't here and it was issued a week ago.,11
143,"I was supposed to receive my new card by now, but it hasn't came in.",11
144,Is a tracking number available for the card that was just sent?,11
145,Why haven't I gotten my new card?,11
146,Was there a number to track that I could get?,11
147,How much longer is it going to take to get my new card?,11
148,I haven't gotten my credit card in the mail.,11
149,My card hasn't arrived yet. What do I do?,11
150,"My card still hasn't arrived after two weeks, now what?",11
151,My card appears to have never arrived?,11
152,My card never arrived.,11
153,My card has been found. Is there any way for me to put it back into the app?,13
154,I was able to find my card. How to I go about putting it into my app?,13
155,how do I get my card to show in the app?,13
156,I just got my card.  It's not linked yet--how do I do that?,13
157,"lost card found, want to put it back in app",13
158,"I just got a card, how can I add it to the app?",13
159,Is there any way to see my card in the app?,13
160,If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,13
161,I found my card. How can I put it into my app?,13
162,How do I make my card show up in the app?,13
163,Can you show me where to link the new card?,13
164,I found my old card. Can I link it back into the app?,13
165,"Show me how to link the new card,",13
166,How do I add an existing card to the app?,13
167,I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,13
168,How do I link one of your card that I already have?,13
169,If I have a physical card can I link it?,13
170,I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,13
171,Can I add a card that I just found (again) to the app?,13
172,How can I make my card show up in the app?,13
173,"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",13
174,"Okay, I found my card, can I put it back in the app?",13
175,Can I reactivate a card?,13
176,I would like to reactivate a card and wondered if that could be done?,13
177,"I got my card now, how do I make it show up in the app?",13
178,How do I link an existing card?,13
179,How do I link a new card in the app?,13
180,"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",13
181,I already have a card and want to link it,13
182,Can you please reactivate my card?,13
183,Where do I go to add a new card?,13
184,I want my card I just received to show up in the app. How do I do that?,13
185,"I received my card, how do I get it to show in the app?",13
186,If I have a credit card with you how I get set up to link to it?,13
187,How do I add my new card?,13
188,"I want to reactivate my card, I thought I had lost it but found it again this morning.",13
189,"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",13
190,My card is no longer lost. How do I enter it back into the app?,13
191,"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",13
192,"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",13
193,How do I reactivate a card I thought I lost?,13
194,Help me figure out how to link the new card.,13
195,I found my lost card. Am I still able to use it?,13
196,Will I need a new card or can I put my old card back into the app?,13
197,Is there a way to link the card i just got?,13
198,How do I add a new card?,13
199,"I want to reactivate my card, I found it after thinking it was lost.",13
200,Can I put my old card back in the app?,13
201,"I got a new card, how do I link it?",13
202,I found the card I thought I lost this morning. Can I reactivate this card?,13
203,How do i go about linking a new card?,13
204,how do i get the card linked,13
205,"I have one of your cards, but I don't know how to link it.",13
206,how do I link an old card?,13
207,I received my card. How do I link it to the app?,13
208,"Now that I have my card, how do I connect it to the app?",13
209,How do I add the card I just received to show up in the app?,13
210,"I want to reactivate my card, I thought I had lost it but I found it.",13
211,What do I need to do to link my new card for my account?,13
